"age","height_in","weight_lb","sex"
83,62.75,97.93730363923,"female"
54,62.755905511811,97.885128,"male"
54,60.5,98.24980301268,"female"
68,63,98.37480276206,"male"
68,59.25,89.24982105732,"female"
56,58.75,97.18730514295,"female"
15,50,53.81239210809,"female"
57,56.25,75.87484787366,"female"
22,55.95,72.24985514164,"female"
40,58,79.24984110692,"female"
19,64,109.249723638,"male"
41,64.75,117.24976491844,"male"
75.9000000000001,63,81.74983609452,"male"
73.9000000000001,60.5,89.31232093201,"female"
49,65.75,111.56227632165,"male"
26,59.5,96.93730564419,"male"
17,58.25,74.49985063048,"female"
13,49.37,47.12490551626,"female"
8,43.75,36.74992631772,"female"
88,60.25,109.9884918,"male"
68,54.75,74.06235150765,"female"
33,60,96.68730614543,"male"
26,61,106.12478722362,"female"
56,58.25,94.24981103252,"female"
16,56.5,76.81234599401,"male"
13,46.45,53.1248934865,"female"
34,56.75,74.74985012924,"female"
5,36.5,26.62494661794,"female"
17,58.25,90.99981754864,"female"
74,61.25,87.56232444069,"male"
69,59.25,79.24984110692,"female"
50,61.25,112.24977494324,"male"
44,60.75,100.87479774966,"female"
15,51.42,55.68738834879,"female"
5,40,33.81243220729,"female"
18,62,108.49978246184,"female"
41,66.5,129.68723998175,"male"
27,59.25,95.81230789977,"female"
8.90000000000009,44,39.31242118001,"male"
38,63,114.56227030677,"male"
57,66,111.74977594572,"male"
64.5,56.75,75.49984862552,"female"
42,57.25,86.81232594441,"female"
24,63,131.31223672369,"male"
16,58,88.87482180918,"male"
71,64.75,114.9997694296,"male"
49.5,60.25,88.1248233129,"female"
33,58.75,96.8748057695,"male"
28,63,120.37475865294,"female"
47,58.75,99.3748007571,"female"
3,33.5,25.24994937476,"male"
1,33.25,25.93744799635,"male"
1,23.47,12.99997393552,"female"
3,36.5,26.68744649263,"male"
6,43.75,40.37491904974,"female"
5,35.75,25.06244975069,"female"
27,60.5,91.12481729802,"female"
5,39.25,35.81242819737,"female"
1,24.6,14.9999699256,"female"
2,32.25,26.18744749511,"male"
2,38,32.99993383632,"female"
1,31.5,21.74995639212,"male"
55,59.25,92.37481479182,"female"
83.4000000000001,59.75,93.74926088,"male"
12,55.37,63.62487243442,"male"
2,34.75,28.18744348519,"female"
63,62.25,95.12480927818,"male"
52,58.75,89.9998195536,"female"
49,59.75,94.49981053128,"male"
31,61,101.8747957447,"female"
9,48.75,45.37490902494,"female"
6,41,34.9999298264,"female"
35,63.5,105.49978847672,"male"
35,58.5,93.749812035,"female"
7,38.25,37.62492456338,"female"
5,36.75,29.06244173085,"male"
24,63.25,106.93728559459,"male"
41,62,101.12479724842,"male"
32,65.75,116.62476617154,"male"
43,62,104.87478972982,"male"
6,36,28.49994285864,"female"
1,23.8,12.499974938,"male"
15,54,63.7498721838,"male"
63,60,95.99980752384,"female"
21,60,95.74980802508,"female"
1,32,25.37494912414,"male"
2,43,25.81244824697,"female"
1,28,16.62496666754,"male"
3,35.12,27.99994386112,"female"
1,26.5,15.87496817126,"female"
1,33.5,27.24994536484,"male"
1,27.5,17.18746553975,"female"
55,63.75,117.31226479313,"female"
38,60,98.49980251144,"female"
3,35,27.68744448767,"male"
3,35.5,27.99994386112,"male"
1,28.25,16.2499674194,"female"
1,33,20.31245927425,"female"
28,62.75,104.06229135885,"male"
16,56,63.1248734369,"female"
36,56,69.81236002873,"female"
38,66.5,124.43725050779,"male"
12,48.5,44.12491153114,"male"
1,29.5,18.749962407,"male"
1,29.25,18.31246328417,"female"
3,35.75,25.6249486229,"female"
48,63,122.99975338992,"male"
1,26.75,17.56246478789,"female"
15,53.5,59.9998797024,"female"
45,62.25,104.68729010575,"male"
3,33.5,23.81245225689,"male"
3,36.75,30.87493809686,"female"
38,60,99.56230038117,"female"
21,61.25,100.37479875214,"female"
50,60.75,107.74978396556,"female"
41,61.75,102.68729411567,"male"
13,47.25,44.3749110299,"female"
8,45,39.9999198016,"male"
3,33,24.06245175565,"male"
30,61.5,96.74980602012,"female"
12,54,59.87487995302,"male"
7,45,41.99991579168,"male"
4,37,30.49993884872,"female"
21,66.25,123.56225226213,"male"
38,58.25,88.37482281166,"female"
15,55,58.56238258453,"male"
19,62,111.99977544448,"female"
1,30,20.31245927425,"male"
1,26,16.68746654223,"male"
31,63.2677165354331,102.073906,"male"
8,45,42.81241416265,"female"
16,57.5,83.56233246053,"male"
21,63.5,108.81228183529,"male"
0,27.5,16.12496767002,"female"
13,52.75,62.06237556717,"male"
0,26.75,17.24996541444,"male"
50,59.25,97.24980501764,"female"
39,64.25,112.499774442,"male"
44,58.5,89.87481980422,"male"
36,58.5,82.81233396425,"female"
36,63.75,113.7497719358,"male"
18,60.5,98.81230188489,"female"
0,27,17.68746453727,"female"
58,59.5,95.68730815039,"female"
58,64.5,102.99979348912,"male"
33,60.25,87.18732519255,"female"
21.5,59.75,76.68734624463,"female"
11,52,50.24989925076,"male"
26,61.5,86.62482632034,"male"
22,55.25,82.56233446549,"female"
28,62.5,107.31228484273,"male"
42,56.25,78.49984261064,"female"
2,33.25,20.68745852239,"male"
21,59.82,96.37480677198,"male"
19,63.5,106.249786973,"male"
13,50.39,65.81236804857,"male"
48,63.38,112.37477469262,"male"
46,57,96.99980551888,"female"
11,52,62.37487494062,"male"
8,46.45,44.87491002742,"male"
25,63,106.249786973,"male"
16,61,86.37482682158,"male"
51,63.38,102.93729361443,"male"
25,65.35,124.3747506331,"male"
28,62.2,107.12478521866,"male"
26,61,106.31228684769,"female"
5,38.58,29.31244122961,"male"
1,25.25,14.68747055215,"female"
54,63.25,104.68729010575,"male"
66,58,78.37484286126,"female"
20,57.755905511811,80.689092,"female"
25,58,107.93728358963,"female"
38,68.11,112.99977343952,"male"
51,62.25,102.56229436629,"male"
48,58,81.49983659576,"female"
13,49.21,55.37488897534,"male"
6,41.75,35.87492807206,"male"
27,65.35,107.24978496804,"male"
22,59,83.87483183398,"female"
1,30,18.749962407,"female"
60,63.75,104.24979098292,"male"
15,55.12,62.49987469,"female"
0,26.25,17.93746403603,"female"
0,24.75,15.87496817126,"male"
43,64.5,122.12475514426,"male"
12,58.25,71.62485639474,"male"
27,63,119.49976040728,"male"
30,61,106.8747857199,"male"
29,60,94.93730965411,"female"
0,24.5,15.99996792064,"female"
23,57.5,75.37484887614,"female"
30,59.84,110.12477920378,"female"
17,62,91.06231742333,"male"
0,22,10.68747857199,"female"
0,24,13.7499724318,"male"
41,59.75,97.74980401516,"female"
42,57,73.7498521342,"female"
7,46.5,37.24992531524,"female"
3,30.75,18.1249636601,"female"
43,63.25,104.24979098292,"male"
35,59.5,101.68729612063,"female"
10,48,44.49991077928,"female"
3,36.5,28.1249436105,"male"
75.5,60.5,104.49979048168,"male"
64,58,90.06231942829,"female"
38,55,110.99977744944,"male"
24.2,62,99.49980050648,"female"
4,36,25.6249486229,"female"
26,61,93.1248132881,"male"
19,56.5,91.81231591961,"female"
2,32.75,20.18745952487,"male"
43,62.25,99.68730013055,"male"
38,58,112.99977343952,"female"
10,48.75,46.74990626812,"male"
3,35,25.56244874821,"male"
23,63,108.62478221122,"male"
16,54,61.62487644434,"female"
49,65,112.87477369014,"male"
41,61,96.68730614543,"female"
6,43.75,38.99992180656,"male"
23,60.5,78.31234298657,"female"
14,57.25,75.49984862552,"female"
43,55.75,94.5460546404,"female"
15,57,71.74985614412,"female"
21,64.5,103.1247932385,"male"
24,63.5,92.31231491713,"male"
20,60.9842519685039,84.216484,"male"
20,63.503937007874,95.460046,"male"
34,67,118.24976291348,"male"
29,59,94.74981003004,"female"
11,48.75,47.4999047644,"male"
3,33.5,25.18744950007,"female"
65,63.25,87.68732419007,"male"
46,61,95.56230840101,"female"
8,41.75,34.12493158074,"female"
15,49.75,48.31240313537,"male"
43,65.5,116.12476717402,"male"
39,58.38,84.74983007964,"female"
12,49,42.4999147892,"female"
3,35.25,24.49995087848,"male"
4,40,29.74994035244,"female"
43,59.75,94.3748107819,"female"
70,58.5,79.12484135754,"female"
26,60.5,97.4998045164,"female"
0,21.25,9.3749812035,"female"
48,57.75,83.93733170867,"female"
0,22.25,11.37497719358,"female"
5,39.75,31.56243671845,"male"
8,48,51.18739737111,"male"
3,32.12,23.49995288344,"female"
44,61,97.24980501764,"male"
33,61.5,97.06230539357,"female"
15,52.25,55.06238960189,"male"
12,49.25,49.81240012793,"female"
5,40,31.62493659314,"female"
41,63.25,105.56228835141,"male"
37.4,57.5,86.8748258191,"female"
13,52.25,54.62489047906,"female"
6,34.5,23.49995288344,"female"
53,61.5,90.49981855112,"male"
49,60,89.9998195536,"female"
27,64,103.68729211071,"female"
7,45.25,38.62492255842,"male"
1,26.75,15.93746804595,"female"
31,56.25,75.49984862552,"female"
1,30.25,17.68746453727,"male"
17,57.25,68.62486240962,"male"
31,64,114.9997694296,"male"
21,61.5,119.18726103383,"female"
0,28,17.74996441196,"male"
68,62.5,115.81226780057,"male"
